market open at 0 and close at 23,announcement,largest difference 1 hour before,largest difference 1 hour after,ratio
2018-07-30 15:00:00,USD S&P/Case-Shiller US Home Price Index (MAY),70,246,3.514285714
2018-07-30 15:00:00,USD S&P/Case-Shiller US Home Price Index (YoY) (MAY),70,246,3.514285714
2018-11-12 00:30:00,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (NOV 11),46,161,3.5
2018-07-31 00:45:00,NZD Unemployment Rate (2Q),46,160,3.47826087
2018-07-31 00:45:00,NZD Employment Change (QoQ) (2Q),46,160,3.47826087
2018-07-31 00:45:00,NZD Employment Change (YoY) (2Q),46,160,3.47826087
2018-07-31 00:45:00,NZD Participation Rate (2Q),46,160,3.47826087
2018-07-31 00:45:00,NZD Labor Cost Private Sector (QoQ) (2Q),46,160,3.47826087
2018-07-31 00:45:00,NZD Private Wages ex Overtime (QoQ) (2Q),46,160,3.47826087
2018-07-31 00:45:00,NZD Average Hourly Earnings (QoQ) (2Q),46,160,3.47826087
2018-11-26 15:30:00,USD Fed Vice Chairman Clarida Speaks in New York,114,395,3.464912281
2018-12-23 15:30:00,USD Chicago Fed Nat Activity Index (NOV),145,502,3.462068966
2019-02-21 20:00:00,USD Baker Hughes U.S. Rig Count (FEB 22),42,145,3.452380952
2019-01-16 15:30:00,USD Housing Starts (MoM) (DEC),60,207,3.45
2019-01-16 15:30:00,USD Building Permits (MoM) (DEC),60,207,3.45
2019-01-16 15:30:00,USD Building Permits (DEC),60,207,3.45
2019-01-16 15:30:00,USD Housing Starts (DEC),60,207,3.45
2019-01-16 15:30:00,USD Philadelphia Fed Business Outlook (JAN),60,207,3.45
2019-01-16 15:30:00,USD Initial Jobless Claims (JAN 12),60,207,3.45
2019-01-16 15:30:00,USD Continuing Claims (JAN 5),60,207,3.45
2018-11-27 15:30:00,USD Advance Goods Trade Balance (OCT),40,138,3.45
2018-11-27 15:30:00,USD Wholesale Inventories (MoM) (OCT P),40,138,3.45
2018-11-27 15:30:00,USD Retail Inventories (MoM) (OCT),40,138,3.45
2018-11-27 15:30:00,USD Gross Domestic Product Annualized (QoQ) (3Q S),40,138,3.45
2018-11-27 15:30:00,USD Gross Domestic Product Price Index (3Q S),40,138,3.45
2018-11-27 15:30:00,USD Personal Consumption (3Q S),40,138,3.45
2018-11-27 15:30:00,USD Core PCE (QoQ) (3Q S),40,138,3.45
2018-01-21 15:30:00,CAD Wholesale Trade Sales (MoM) (NOV),55,189,3.436363636
2018-01-21 15:30:00,USD Chicago Fed Nat Activity Index (DEC),55,189,3.436363636
2018-01-24 15:30:00,EUR ECB President Draghi holds press conference in Frankfurt,72,246,3.416666667
2018-01-24 15:30:00,USD Initial Jobless Claims (JAN 20),72,246,3.416666667
2018-01-24 15:30:00,USD Continuing Claims (JAN 13),72,246,3.416666667
2018-01-24 15:30:00,CAD Retail Sales (MoM) (NOV),72,246,3.416666667
2018-01-24 15:30:00,CAD Retail Sales Ex Auto (MoM) (NOV),72,246,3.416666667
